shop_id,dt0,dt1,dt2,pid_num,sale_amt,offer_amt,offer_cnt,rtn_cnt,rtn_amt,ord_cnt,user_cnt,ads_charge,ads_consume,bad_rate,mid_rate,good_rate,dis_num,cmmt_num,on_num,sale_sum
1,2016-07-31,2016-08-03,2016-10-31,422,216393.14,9518.29,648.0,63.0,3768.07,1846.0,1844.0,187986.39,150673.93,0.00149142431022,0.00298284862043,0.995525727069,43,1341,3734,196326.0
1,2016-08-31,2016-09-01,2016-11-29,541,357215.04,18026.57,1307.0,103.0,6078.29,3058.0,3052.0,187986.39,150673.93,0.00344318740777,0.00590260698475,0.990654205607,64,2033,3699,335835.7
1,2016-09-30,2016-10-01,2016-12-29,556,431292.26,19127.88,1529.0,138.0,8219.37,3630.0,3624.0,187986.39,150673.93,0.00719424460432,0.0121402877698,0.980665467626,65,2224,3602,404198.61
1,2016-10-31,2016-11-01,2017-01-29,522,408421.07,14828.45,1268.0,152.0,8955.15,3377.0,3372.0,187986.39,150673.93,0.0117501546073,0.0179344465059,0.970315398887,52,1617,3148,382664.23
1,2016-11-30,2016-12-01,2017-02-28,546,328276.15,6914.53,685.0,129.0,7764.74,2614.0,2612.0,187986.39,150673.93,0.0136487716106,0.0263876251137,0.959963603276,37,1099,3044,306535.85
1,2016-12-31,2017-01-01,2017-03-31,562,267810.79,4249.95,454.0,103.0,6335.93,2074.0,2071.0,187986.39,150673.93,0.0105680317041,0.0290620871863,0.96036988111,25,757,2954,248421.73
1,2017-01-31,2017-02-01,2017-04-30,536,226010.75,3561.79,385.0,78.0,4693.73,1759.0,1756.0,187986.39,150673.93,0.004884004884,0.028083028083,0.967032967033,19,819,2624,219097.84
2,2016-07-31,2016-08-03,2016-10-31,362,128628.28,3408.55,704.0,89.0,4313.24,1204.0,1201.0,0.0,0.0,0.0566037735849,0.0943396226415,0.849056603774,26,159,2,99079.11
2,2016-08-31,2016-09-01,2016-11-29,403,173576.7,5734.31,1059.0,99.0,4789.64,1609.0,1606.0,0.0,0.0,0.0629921259843,0.0984251968504,0.838582677165,40,254,2,141808.25
2,2016-09-30,2016-10-01,2016-12-29,379,173338.87,7396.24,1293.0,112.0,5017.75,1835.0,1833.0,0.0,0.0,0.0744985673352,0.0830945558739,0.842406876791,45,349,2,144865.94
2,2016-10-31,2016-11-01,2017-01-29,303,112046.64,5180.22,888.0,66.0,2712.77,1296.0,1296.0,0.0,0.0,0.0771812080537,0.0771812080537,0.845637583893,27,298,2,90416.49
